sessao_tecnica	cadeira	artigo	autores
ST1 – USER EXPERIENCE 09:00	Carlos Ferraz (UFPE)	A Generative Software Development approach for mulsemedia application domain	Marcelo F. de Sousa, (IESP), Raoni Kulesza (UFPB), Carlos André G. Ferraz (UFPE),Matheus Lima (UFPB)
ST1 – USER EXPERIENCE 09:00	Carlos Ferraz (UFPE)	Synthesizing guidelines for facilitating elderly-smartphone interaction	Bruna C.R. Cunha (USP/IFSP), Kamila R.H. Rodrigues (USP), Maria da Graça C.Pimentel (USP)
ST1 – USER EXPERIENCE 09:00	Carlos Ferraz (UFPE)	A data exploratory methodology to understand the users’ interactions in nonlinear Web multimedia services	Diego Carvalho (UFSJ), Nícollas Silva (UFMG), Alan Cardoso (UFSJ), Elverton Fazzion(UFSJ), Adriano C.M. Pereira (UFMG), Leonardo Rocha (UFSJ)
ST1 – USER EXPERIENCE 09:00	Carlos Ferraz (UFPE)	Comparative Study of User Experience Evaluation Techniques Based on Mouse and Gaze Tracking	Igor Leonardo Aviz (UFPA), Kennedy Edson Souza (UFPA), Elison H.B. Ribeiro (UFPA),Harold de Mello Junior (UERJ), Marcos César da R. Seruffo (UFPA)
ST1 – USER EXPERIENCE 09:00	Carlos Ferraz (UFPE)	A Model-Based Approach to Generate Reactive and Customizable User Interfaces for the Web Of Things	Jagni D.H. Bezerra (IFCE), Cidcley T. de Souza (IFCE)
ST1 – USER EXPERIENCE 09:00	Carlos Ferraz (UFPE)	User Interface Prototype Generation from Agile Requirements Specifications written in Concordia	Thiago D. Pinto (CEFET/RJ), Willian I. Gonçalves (CEFET/RJ), Pablo V. Costa (CEFET/RJ)
ST2 – INTERNET OF THINGS 09:00	Diego Brandão (CEFET/RJ)	Cluster-Head Switching Algorithm Based on Node Temperature in Wireless Body Sensors Networks	Creyton B. de M. Ferreira (CEFET/RJ), Raphael M. Guedes (UFRJ), Felipe da R.Henriques (CEFET/RJ)
ST2 – INTERNET OF THINGS 09:00	Diego Brandão (CEFET/RJ)	Pragmatic Interoperability in IoT: A Systematic Mapping Study	Matheus H.S. Muniz (UFJF), José Maria N. David (UFJF), Regina Braga (UFJF),Fernanda Campos (UFJF), Victor Strölle (UFJF)
ST2 – INTERNET OF THINGS 09:00	Diego Brandão (CEFET/RJ)	An IoT Multi-Protocol Strategy for the Interoperability of Distinct Communication Protocols applied to Web of Things	Vinícius A. Barros (USP), Sérgio A.B. Junior (USP), Sarita M. Bruschi (USP), Francisco J.Monaco (USP), Júlio C. Estrella (USP)
ST2 – INTERNET OF THINGS 09:00	Diego Brandão (CEFET/RJ)	Smart “Health of Things”: a Model Based in Data Mining for an IoT Health System Used in Hospital and Home Urgencies	Oton C. Braga (UFERSA/UERN), Francisco M. Mendes Neto (UFERSA), Antônio M.B.de Oliveira (IFCE), Raimundo Valter Costa Filho (IFCE)
ST2 – INTERNET OF THINGS 09:00	Diego Brandão (CEFET/RJ)	Performance Evaluation and Comparison of Default and Small Private Key Rainbow Digital Signature Scheme for IoT Devices	Matheus da F. Dornelles (CEFET/RJ), Pedro Carlos da S. Lara (CEFET/RJ), Felipe da R.Henriques (CEFET/RJ)
ST2 – INTERNET OF THINGS 09:00	Diego Brandão (CEFET/RJ)	Towards a model to optimized collect of vital signs through adaptive strategies	Jorge Arthur S. Aranda (Unisinos), Lucas P.S. Dias (Unisinos), Alexandre S. Wolf(Unisinos), Juliano V. de Carvalho (Univ. Feevale), Maurício C. Tavares (Contronic),Adenauer C. Yamin (UCPEL), Jorge L.V. Barbosa (Unisinos)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	A Study on the Use of Sequence-to-Sequence Neural Networks for Automatic Translation of Brazilian Portuguese to LIBRAS	Vinícius Veríssimo (UFPB), Cecília Silva (UFPB), Vitor Hanael (UFPB), Caio Moraes(UFPB), Rostand Costa (UFPB), Tiago Maritan U. Araújo (UFPB), Manuella A.C.B. Lima(UFPB), Thaís G. do Rêgo (UFPB)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	Using Convolutional Neural Networks for Fingerspelling Sign Recognition in Brazilian Sign Language	Douglas F.L. Lima (UFPB), Armando S. Salvador Neto (UFPB), Ewerton N. Santos(UFPB), Tiago Maritan U. Araújo (UFPB), Thaís G. do Rêgo (UFPB)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	Analysis of Rule-Based Machine Translation and Neural Machine Translation Approaches for Translating Portuguese to LIBRAS	Caio César M. de Oliveira (UFPB), Thaís G. do Rêgo (UFPB), Manuella A.C.B. Lima(UFPB), Tiago Maritan U. Araújo (UFPB)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	Mobile Applications in the Care of Children and Teenagers in Oncological Treatment	Paula A. Knob (Unisinos), Andrêsa V. Larentis (Unisinos), Débora N.F. Barbosa (Univ.Feevale), Carla R. da Silva (AMO Criança), Jorge L.V. Barbosa (Unisinos)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	A Blockchain-Based Approach for Privacy Control of Patient’s Medical Records in the Fog Layer	Cícero A. Silva (UFRN), Gibeon S. de Aquino Júnior (UFRN), Sávio R.M. Melo (UFRN)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	Using Chatbots to Compare Drug Prices Extracted in Real-Time from the WEB	Caio Viktor S. Avila (UFC), Vania P. Vidal (UFC), Asley Caldas (UFC), Tulio V. Rolim (UFC),Thays Lavor (UFC)
ST3 – E-HEALTH AND ACCESSIBILITY 14:00	Eduardo Bezerra (CEFET/RJ)	Towards a Ubiquitous Care Model for Patients with Anxiety Disorders	Lucas P.S. Dias (Unisinos), Jorge L.V. Barbosa (Unisinos)
ST4 – MEDIA CODING AND TRANSMISSION 14:00	Valter Roesler (UFRGS)	Aequilibrium – MPEG-DASH Video Servers Load Balancing Approaches with Software-Defined Networking	Edenilson Jônatas dos Passos (UDESC), Adriano Fiorese (UDESC)
ST4 – MEDIA CODING AND TRANSMISSION 14:00	Valter Roesler (UFRGS)	Identification of Speechless Intervals in Audio Tracks using Convolutional Neural Networks	Vinícius Wanderley (UFPB), Leonardo Villeth (UFPB), Virgínia P. Campos (UFRN), TiagoMaritan U. Araújo (UFPB), Thaís G. do Rêgo (UFPB)
ST4 – MEDIA CODING AND TRANSMISSION 14:00	Valter Roesler (UFRGS)	Fast Partitioning Decision Making for Prediction Units on H.264-to-HEVC Transcoding Using Machine Learning	Yan Soares (UFPel), Guilherme Corrêa (UFPel), Luciano Agostini (UFPel)
ST4 – MEDIA CODING AND TRANSMISSION 14:00	Valter Roesler (UFRGS)	An Evolutionary Approach for Video Application Energy Consumption Estimation in Mobile Devices	Irandir O. de Amorim (UPE), Jose F.V. de Melo (UPE), Andson M. Balieiro (UFRPE),Bruno B. dos Santos (UPE)
ST4 – MEDIA CODING AND TRANSMISSION 14:00	Valter Roesler (UFRGS)	Development of a Naive Bayes classifier for image quality assessment in biometric face images	Armando M. Gutiérrez (USP), Patricia A. Pacheco (USP), José C. Gutiérrez (USP), GraçaBressan (USP)
ST4 – MEDIA CODING AND TRANSMISSION 14:00	Valter Roesler (UFRGS)	Evaluation of Machine Learning Algorithms for Fast Video Transcoding in Streaming Services	Thiago Bubolz (UFPel), Bruno Zatt (UFPel), Mateus Grellert (UCPel), Guilherme Corrêa(UFPel)
ST5 – AUTHORING 09:00	Manoel Neto (IFBA)	Elderly Vloggers: Authoring and Sharing Stories with Mobile Media and DTV Using the the GhostWriter Service	Caio C. Viel (Sidia), Kamila R.H. Rodrigues (USP), Bruna C.R. Cunha (IFSP), Maria daGraça C. Pimentel (USP)
ST5 – AUTHORING 09:00	Manoel Neto (IFBA)	Increasing reuse in learning objects authoring: a case study with the Cacuriá tool	Thacyla de S. Lima (UFMA), Roberto Gerson de A. Azevedo (UPFL, Switzerland), Carlosde S. Soares Neto (UFMA)
ST5 – AUTHORING 09:00	Manoel Neto (IFBA)	Toward Understanding the Quality of Subtitle Synchronization to Improve the Viewer Experience	Jessica O. Brito (UFES), Celso A.S. Santos (UFES), Rodrigo L. Guimarães (UFES),Thiago Felipe C. Borges (UFES)
ST5 – AUTHORING 09:00	Manoel Neto (IFBA)	An Optimization Model for Temporal Video Lecture Segmentation using Word2vec and Acoustic Features	Eduardo R. Soares (UFJF), Eduardo Barrére (UFJF)
ST5 – AUTHORING 09:00	Manoel Neto (IFBA)	Adding Temporal Semantic to Textual Media Objects with Eye Tracking Technology	Ellen P. Silva (CEFET/RJ), Glauco F. Amorim (CEFET/RJ), Joel A.F. dos Santos (CEFET/RJ)
ST6 – SOCIAL NETWORKS I 09:00	Raoni Kulesza (UFPB)	Parrot Talk: Retweeting Among Twitter Users During the 2018 Brazilian Presidential Election	Jordan K. Kobellarz (UTFPR), Alexandre R. Graeml (UTFPR), Michelle Reddy (StanfordUniv., USA), Thiago H. Silva (UTFPR)
ST6 – SOCIAL NETWORKS I 09:00	Raoni Kulesza (UFPB)	Characterization of the Discrepancies between Scores and Texts of Movie Reviews	Karen S. Martins (UFMG), Pedro O.S. Vaz de Melo (UFMG)
ST6 – SOCIAL NETWORKS I 09:00	Raoni Kulesza (UFPB)	The Times They Are A-Changin’ (or not): song lyrics analysis over the years	Carolina C. Vieira (UFMG), Túlio C. Loures (UFMG), Pedro O.S. Vaz de Melo (UFMG),Renato M. Assunção (UFMG)
ST6 – SOCIAL NETWORKS I 09:00	Raoni Kulesza (UFPB)	Using topic modeling to find main discussion topics in Brazilian political websites	Vithor G. Bertalan (USP), Evandro Eduardo S. Ruiz (USP)
ST6 – SOCIAL NETWORKS I 09:00	Raoni Kulesza (UFPB)	Quality Assessment of Wikipedia Content Using Topic Models	Lauro C.J. Santos (CEFET-MG), Taís Christofani (CEFET-MG), Ismael S. Silva (CEFETMG), Daniel H. Dalip (CEFET-MG)
ST6 – SOCIAL NETWORKS I 09:00	Raoni Kulesza (UFPB)	Automatic identification of Irony: a Case Study on Twitter	Yulli D.T. Alves (CEFET-MG), Ana Luiza Sanches (CEFET-MG), Daniel H. Dalip (CEFETMG), Ismael S. Silva (CEFET-MG)
ST7 – SYSTEMS AND MIDDLEWARE 14:00	Celso Saibel (UFES)	NuGingaJS: a Full Portable ITU-T H.761 Ginga Middleware for DTV and IPTV	Rodrigo Braga (SIDIA), Volnei Klehm (SIDIA), Lauro Gama (SIDIA), Michael Mello (SIDIA),Taynara Paiva (SIDIA), Dina Nogueira (SIDIA), Ruddá Beltrão (SIDIA), Addison Lima(SIDIA), Leonardo Santana (SIDIA), Lois Nascimento (SIDIA), Chak Lee (SIDIA), FelipeTravassos (SIDIA)
ST7 – SYSTEMS AND MIDDLEWARE 14:00	Celso Saibel (UFES)	Middleware architecture towards higher-level descriptions of (genuine) Internet-of-Things applications	Thomás M.B. Reis (UFJF), Marcelo F. Moreno (UFJF)
ST7 – SYSTEMS AND MIDDLEWARE 14:00	Celso Saibel (UFES)	A Proposal for Supporting Sensory Effect Rendering in Ginga-NCL	Renato O. Rodrigues (CEFET/RJ), Marina I.P. Josué (UFF), Raphael S. Abreu (UFF),Glauco F. Amorim (CEFET/RJ), Débora C. Muchaluat-Saade (UFF), Joel A.F. dos Santos(CEFET/RJ)
ST7 – SYSTEMS AND MIDDLEWARE 14:00	Celso Saibel (UFES)	Apollo APA: Towards a Model to Care of People with Hearing Impairment in Smart Environments	João E. da R. Tavares (Unisinos), Tefferson D. da R. Guterres (Unisinos), Jorge L.V.Barbosa (Unisinos)
ST7 – SYSTEMS AND MIDDLEWARE 14:00	Celso Saibel (UFES)	Automatic Preparation of Media Objects in Multimedia Applications	Marina Ivanov (UFF), Marcelo F. Moreno (UFJF), Débora C. Muchaluat-Saade (UFF)
ST8 – SOCIAL NETWORKS II 14:00	Thiago H Silva (UTFPR)	Link Prediction in Social Networks: Combining Topological and Contextual Data in a Community Detection Based Method	Camila M. de Moraes (IME), Eduardo Bezerra (CEFET/RJ), Ronaldo R. Goldschmidt(IME)
ST8 – SOCIAL NETWORKS II 14:00	Thiago H Silva (UTFPR)	Leveraging the Facebook Ads Platform for Election Polling	Filipe N. Ribeiro (UFOP/UFMG), Daniel Kansaon (UFMG), Fabrício Benevenuto (UFMG)
ST8 – SOCIAL NETWORKS II 14:00	Thiago H Silva (UTFPR)	Cross-Cultural Study of Tourists Mobility Using Social Media	David A.M. Veiga (UTFPR), Gabriel B. Frizzo (UTFPR), Thiago H. Silva (UTFPR)
ST8 – SOCIAL NETWORKS II 14:00	Thiago H Silva (UTFPR)	Measurement of Mobilization Capacity via Actions Sequence Learning within Institutional Facebook Fan Pages	Kaique Matheus R. Cunha (IFG), Alan K. Gomes (IFG)
